Id_planet,Name,Distance,Stellar_magnitude,Planet_type,Discovery_year,Mass_multiplier,Mass_wrt,Radius_multiplier,Radius_wrt,Orbital_radius,Orbital_period,Eccentricity,Detection_method,Status_Exploration,ID_Vessel
207,GJ 15 A c,12.000000,8.090000,Neptune-like,2018,36.000000,Earth,595.000000,Jupiter,5.400000,20.799999,0.270000,Radial Velocity,0,0
208,GJ 160.2 b,84.000000,9.700000,Neptune-like,2014,46.063000,Earth,283.000000,Jupiter,53.000000,14.236000,0.060000,Radial Velocity,0,0
209,GJ 163 b,49.000000,11.790000,Neptune-like,2013,46.182999,Earth,0.290000,Jupiter,607.000000,23.545000,0.070000,Radial Velocity,0,0
210,GJ 163 c,49.000000,11.790000,Neptune-like,2013,46.240002,Earth,223.000000,Jupiter,1.254000,7.008000,0.100000,Radial Velocity,0,0
211,GJ 163 d,49.000000,11.790000,Neptune-like,2013,46.140999,Earth,528.000000,Jupiter,1.030400,1.700000,0.370000,Radial Velocity,0,0
212,GJ 179 b,40.000000,11.963000,Gas Giant,2009,0.820000,Jupiter,1.240000,Jupiter,2.410000,6.300000,0.210000,Radial Velocity,0,0
213,GJ 180 b,39.000000,10.914000,Neptune-like,2014,6.490000,Earth,217.000000,Jupiter,92.000000,4.681000,0.070000,Radial Velocity,0,0
214,GJ 180 c,39.000000,10.914000,Neptune-like,2014,46.118000,Earth,215.000000,Jupiter,129.000000,6.652000,0.090000,Radial Velocity,0,0
215,GJ 180 d,39.000000,10.914000,Neptune-like,2020,7.560000,Earth,237.000000,Jupiter,309.000000,29.103001,0.140000,Radial Velocity,0,0
216,GJ 2030 b,121.000000,620.901978,Super Earth,2022,459.247986,Earth,1.980000,Earth,34.410999,6.570000,0.240000,Radial Velocity,0,0
217,GJ 2030 c,121.000000,620.901978,Gas Giant,2022,1.279000,Jupiter,1.100000,Jupiter,16.763000,70.000000,0.040000,Radial Velocity,0,0
218,GJ 2056 b,93.000000,10.370000,Neptune-like,2020,46.069000,Earth,372.000000,Jupiter,283.000000,19.164000,0.720000,Radial Velocity,0,0
219,GJ 229 A c,19.000000,8.150000,Neptune-like,2020,857.612976,Earth,256.000000,Jupiter,384.213989,33.374001,0.370000,Radial Velocity,0,0
220,GJ 229 b,19.000000,8.150000,Neptune-like,2014,1.485000,Earth,353.000000,Jupiter,1.086000,1.600000,0.400000,Radial Velocity,0,0
221,GJ 251 b,18.000000,9.890000,Super Earth,2020,4.000000,Earth,1.830000,Earth,818.000000,3.887000,0.100000,Radial Velocity,0,0
222,GJ 27.1 b,77.000000,11.450000,Neptune-like,2014,13.000000,Earth,327.000000,Jupiter,101.000000,4.325000,0.080000,Radial Velocity,0,0
223,GJ 273 b,19.000000,9.840000,Super Earth,2017,2.890000,Earth,1.510000,Earth,91.100998,50.924000,0.100000,Radial Velocity,0,0
224,GJ 273 c,19.000000,9.840000,Super Earth,2017,1.180000,Earth,1.060000,Earth,36.466999,12.867000,0.170000,Radial Velocity,0,0
225,GJ 3021 b,57.000000,6.590000,Gas Giant,2000,3.370000,Jupiter,1.170000,Jupiter,0.490000,36.605000,0.510000,Radial Velocity,0,0
